flow_cfs,FR_spawning,FR_fry,FR_juv,SR_spawning,ST_spawning,SR_fry,ST_fry,SR_juvenile,ST_juvenile,Reach,Reach_length,length_units,WUA_units
225,NA,NA,NA,742,"4,708","67,663","42,180","119,145","119,145",Canyon Segment,7.33,miles,square feet
250,NA,NA,NA,825,"4,691","71,629","43,741","123,982","123,982",Canyon Segment,7.33,miles,square feet
275,NA,NA,NA,912,"4,642","77,850","45,863","128,942","128,942",Canyon Segment,7.33,miles,square feet
300,NA,NA,NA,"1,003","4,512","86,557","50,188","132,951","132,951",Canyon Segment,7.33,miles,square feet
350,NA,NA,NA,"1,202","4,253","93,609","57,337","139,729","139,729",Canyon Segment,7.33,miles,square feet
400,NA,NA,NA,"1,397","4,028","96,938","59,321","144,433","144,433",Canyon Segment,7.33,miles,square feet
450,NA,NA,NA,"1,584","4,171","102,656","61,180","147,453","147,453",Canyon Segment,7.33,miles,square feet
500,NA,NA,NA,"1,770","4,557","106,005","64,624","149,726","149,726",Canyon Segment,7.33,miles,square feet
550,NA,NA,NA,"1,912","4,964","109,174","65,393","151,456","151,456",Canyon Segment,7.33,miles,square feet
600,NA,NA,NA,"1,995","5,148","112,289","66,998","152,296","152,296",Canyon Segment,7.33,miles,square feet
650,NA,NA,NA,"2,064","5,119","113,402","69,604","152,743","152,743",Canyon Segment,7.33,miles,square feet
700,NA,NA,NA,"2,058","4,724","112,727","69,955","152,587","152,587",Canyon Segment,7.33,miles,square feet
750,NA,NA,NA,"2,015","4,195","112,707","69,885","151,682","151,682",Canyon Segment,7.33,miles,square feet
800,NA,NA,NA,"1,921","3,590","114,554","70,116","149,932","149,932",Canyon Segment,7.33,miles,square feet
850,NA,NA,NA,"1,795","2,991","121,330","75,246","148,278","148,278",Canyon Segment,7.33,miles,square feet
900,NA,NA,NA,"1,580","2,513","126,192","76,214","148,226","148,226",Canyon Segment,7.33,miles,square feet
50,"78,145","536,166","224,915",NA,"12,963","127,116","110,573","84,765","84,765",Lower Alluvial Segment,8.81,miles,square feet
75,"107,008","528,779","248,454",NA,"19,518","126,494","107,877","109,949","109,949",Lower Alluvial Segment,8.81,miles,square feet
100,"130,194","515,513","267,634",NA,"24,801","127,924","102,746","131,778","131,778",Lower Alluvial Segment,8.81,miles,square feet
125,"151,079","501,845","283,272",NA,"29,834","130,415","96,754","151,521","151,521",Lower Alluvial Segment,8.81,miles,square feet
150,"168,950","490,718","296,863",NA,"34,380","129,286","93,114","169,463","169,463",Lower Alluvial Segment,8.81,miles,square feet
175,"185,871","478,203","308,968",NA,"38,663","130,070","89,942","188,198","188,198",Lower Alluvial Segment,8.81,miles,square feet
200,"197,705","470,453","318,200",NA,"41,681","131,919","87,201","203,305","203,305",Lower Alluvial Segment,8.81,miles,square feet
225,"206,377","463,637","325,414",NA,"43,962","133,275","85,807","217,275","217,275",Lower Alluvial Segment,8.81,miles,square feet
250,"212,410","458,051","330,224",NA,"45,508","134,972","84,039","230,218","230,218",Lower Alluvial Segment,8.81,miles,square feet
275,"216,026","454,405","334,768",NA,"46,357","141,192","83,164","241,875","241,875",Lower Alluvial Segment,8.81,miles,square feet
300,"217,880","450,992","337,862",NA,"46,793","143,221","83,079","252,459","252,459",Lower Alluvial Segment,8.81,miles,square feet
350,"217,553","444,511","338,627",NA,"46,379","142,856","82,580","270,939","270,939",Lower Alluvial Segment,8.81,miles,square feet
400,"213,538","440,975","334,869",NA,"44,949","146,002","82,669","286,641","286,641",Lower Alluvial Segment,8.81,miles,square feet
450,"207,615","438,123","315,866",NA,"42,878","149,028","85,798","294,252","294,252",Lower Alluvial Segment,8.81,miles,square feet
500,"199,662","425,804","315,769",NA,"40,151","152,636","85,039","310,507","310,507",Lower Alluvial Segment,8.81,miles,square feet
550,"191,877","418,842","304,825",NA,"37,379","155,903","84,361","318,737","318,737",Lower Alluvial Segment,8.81,miles,square feet
600,"184,133","417,735","284,289",NA,"34,641","162,051","86,183","319,283","319,283",Lower Alluvial Segment,8.81,miles,square feet
650,"176,448","410,118","273,178",NA,"31,937","168,225","87,029","325,605","325,605",Lower Alluvial Segment,8.81,miles,square feet
700,"169,132","404,258","263,294",NA,"29,314","176,777","88,024","330,086","330,086",Lower Alluvial Segment,8.81,miles,square feet
750,"162,105","400,288","253,609",NA,"26,814","184,361","90,407","333,135","333,135",Lower Alluvial Segment,8.81,miles,square feet
800,"155,008","393,976","242,998",NA,"24,330","196,658","93,064","334,596","334,596",Lower Alluvial Segment,8.81,miles,square feet
850,"148,934","390,482","234,032",NA,"22,218","211,735","94,319","334,724","334,724",Lower Alluvial Segment,8.81,miles,square feet
900,"143,371","389,928","226,215",NA,"20,325","226,197","97,105","332,802","332,802",Lower Alluvial Segment,8.81,miles,square feet
